"         1      -363       273       106         0       500        20      5.01     75.01        92        96"
   -363.00     -2.40      0.93       0
   -363.00     -6.55      4.47
   -363.00     -6.82      3.71
   -363.00     -7.48      3.34
   -363.00     -9.39      4.50
   -363.00     -9.78      3.66
   -363.00    -10.81      3.32
   -363.00    -13.16      4.20
   -363.00    -14.07      3.43
   -363.00    -15.14      3.44
   -363.00    -16.49      4.08
   -363.00    -18.45      4.21
   -363.00    -20.82      4.56
   -363.00    -24.64      5.51
   -363.00    -28.15      6.10
   -363.00    -32.52      6.50
   -363.00    -36.21      7.06
   -363.00    -44.72      8.15
   -363.00    -50.67      8.45
   -363.00    -56.20     11.88
   -363.00    -68.98     15.58
   -363.00    -85.49     20.65
   -363.00   -101.38     22.29
   -363.00   -129.42     27.78
   -363.00   -148.30     31.78
   -363.00   -174.00     34.88
   -363.00   -193.83     34.95
   -363.00   -227.59     36.18
   -363.00   -296.51     47.92
   -363.00   -339.23     47.19
   -363.00   -386.02     31.38
   -363.00   -460.16     41.40
   -363.00   -471.97     27.94
   -242.00     -0.44      0.05       0
   -242.00     -4.66     12.32
   -242.00     -5.41     11.66
   -242.00     -7.32      9.47
   -242.00     -8.53      9.70
   -242.00    -11.05      9.00
   -242.00    -12.36      6.60
   -242.00    -14.12      5.31
   -242.00    -15.34      5.74
   -242.00    -18.19      6.46
   -242.00    -18.94      5.07
   -242.00    -21.33      5.27
   -242.00    -24.39      5.77
   -242.00    -28.45      7.82
   -242.00    -32.19      8.46
   -242.00    -36.87     11.31
   -242.00    -42.86     13.55
   -242.00    -50.29     16.02
   -242.00    -56.69     16.91
   -242.00    -65.11     18.83
   -242.00    -77.38     20.65
   -242.00    -92.90     24.45
   -242.00   -108.83     26.11
   -242.00   -139.40     33.51
   -242.00   -159.67     39.22
   -242.00   -183.49     40.42
   -242.00   -200.42     38.44
   -242.00   -230.17     37.24
   -242.00   -297.14     47.73
   -242.00   -340.35     47.57
   -242.00   -386.03     31.07
   -242.00   -460.50     41.35
   -242.00   -472.35     28.09
    -91.00     -0.90      0.86       0
    -91.00     -5.16      5.13
    -91.00     -7.61      4.96
    -91.00     -8.62      3.25
    -91.00     -9.58      2.92
    -91.00    -12.68      4.94
    -91.00    -20.18      5.55
    -91.00    -23.93      5.78
    -91.00    -26.88      6.39
    -91.00    -30.48      7.06
    -91.00    -33.44      8.37
    -91.00    -39.25      9.84
    -91.00    -45.27     11.24
    -91.00    -51.71     12.39
    -91.00    -59.93     13.91
    -91.00    -71.97     16.44
    -91.00    -87.77     20.24
    -91.00   -105.72     23.65
    -91.00   -140.87     34.85
    -91.00   -170.44     46.83
    -91.00   -199.05     50.12
    -91.00   -216.35     47.93
    -91.00   -238.31     41.85
    -91.00   -301.50     49.76
    -91.00   -343.49     50.64
    -91.00   -382.36     31.39
    -91.00   -462.61     42.48
    -91.00   -474.28     28.77
      0.00     -4.35     47.60       0
      0.00     -5.84      4.29
      0.00     -6.71      2.25
      0.00     -7.60      3.52
      0.00     -8.44      3.56
      0.00    -10.05      4.96
      0.00    -10.38      3.23
      0.00    -11.29      3.79
